add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mouse0, Not a typewriter
could not get driver version for /dev/input/mice, Not a typewriter
[     388.590823] /dev/input/event0: 0001 001e 00000001
[     388.671116] /dev/input/event0: 0001 001e 00000000
[     388.935796] /dev/input/event0: 0001 0030 00000001
[     389.015839] /dev/input/event0: 0001 0030 00000000
[     389.405172] /dev/input/event0: 0001 002e 00000001
[     389.491648] /dev/input/event0: 0001 002e 00000000
[     389.729441] /dev/input/event0: 0001 0020 00000001
[     389.780761] /dev/input/event0: 0001 0020 00000000
[     390.157064] /dev/input/event0: 0001 0012 00000001
[     390.216947] /dev/input/event0: 0001 0012 00000000
[     390.446760] /dev/input/event0: 0001 0021 00000001
[     390.497251] /dev/input/event0: 0001 0021 00000000
[     390.668105] /dev/input/event0: 0001 0022 00000001
[     390.736430] /dev/input/event0: 0001 0022 00000000
[     391.076702] /dev/input/event0: 0001 0023 00000001
[     391.156930] /dev/input/event0: 0001 0023 00000000
[     391.401569] /dev/input/event0: 0001 0017 00000001
[     391.486784] /dev/input/event0: 0001 0017 00000000
[     391.674878] /dev/input/event0: 0001 0024 00000001
[     391.760801] /dev/input/event0: 0001 0024 00000000
[     391.914658] /dev/input/event0: 0001 0025 00000001
[     391.999720] /dev/input/event0: 0001 0025 00000000
[     392.136931] /dev/input/event0: 0001 0026 00000001
[     392.223580] /dev/input/event0: 0001 0026 00000000
[     392.359845] /dev/input/event0: 0001 0032 00000001
[     392.428176] /dev/input/event0: 0001 0032 00000000
[     392.599231] /dev/input/event0: 0001 0031 00000001
[     392.667460] /dev/input/event0: 0001 0031 00000000
[     393.092644] /dev/input/event0: 0001 0018 00000001
[     393.193830] /dev/input/event0: 0001 0018 00000000
[     393.554844] /dev/input/event0: 0001 0019 00000001
[     393.653902] /dev/input/event0: 0001 0019 00000000
[     394.508903] /dev/input/event0: 0001 0010 00000001
[     394.612508] /dev/input/event0: 0001 0010 00000000
[     394.816997] /dev/input/event0: 0001 0013 00000001
[     394.885129] /dev/input/event0: 0001 0013 00000000
[     395.123812] /dev/input/event0: 0001 001f 00000001
[     395.206867] /dev/input/event0: 0001 001f 00000000
[     395.379562] /dev/input/event0: 0001 0014 00000001
[     395.448163] /dev/input/event0: 0001 0014 00000000
[     395.635631] /dev/input/event0: 0001 0016 00000001
[     395.702841] /dev/input/event0: 0001 0016 00000000
[     395.865668] /dev/input/event0: 0001 002f 00000001
[     395.926728] /dev/input/event0: 0001 002f 00000000
[     396.437816] /dev/input/event0: 0001 0011 00000001
[     396.522312] /dev/input/event0: 0001 0011 00000000
[     396.743951] /dev/input/event0: 0001 002d 00000001
[     396.812193] /dev/input/event0: 0001 002d 00000000
[     397.085236] /dev/input/event0: 0001 0015 00000001
[     397.188429] /dev/input/event0: 0001 0015 00000000
[     397.443769] /dev/input/event0: 0001 002c 00000001
[     397.562066] /dev/input/event0: 0001 002c 00000000
[     398.600903] /dev/input/event0: 0001 000e 00000001
[     398.669526] /dev/input/event0: 0001 000e 00000000
[     398.754553] /dev/input/event0: 0001 000e 00000001
[     398.822235] /dev/input/event0: 0001 000e 00000000
[     398.907434] /dev/input/event0: 0001 000e 00000001
[     398.975083] /dev/input/event0: 0001 000e 00000000
[     399.043219] /dev/input/event0: 0001 000e 00000001
[     399.109923] /dev/input/event0: 0001 000e 00000000
[     399.195087] /dev/input/event0: 0001 000e 00000001
[     399.280963] /dev/input/event0: 0001 000e 00000000
[     399.349989] /dev/input/event0: 0001 000e 00000001
[     399.486730] /dev/input/event0: 0001 000e 00000000
[     399.521029] /dev/input/event0: 0001 000e 00000001
[     399.636909] /dev/input/event0: 0001 000e 00000000
[     399.724325] /dev/input/event0: 0001 000e 00000001
[     399.809710] /dev/input/event0: 0001 000e 00000000
[     399.894902] /dev/input/event0: 0001 000e 00000001
[     399.997615] /dev/input/event0: 0001 000e 00000000
[     400.082837] /dev/input/event0: 0001 000e 00000001
[     400.168350] /dev/input/event0: 0001 000e 00000000
[     400.253598] /dev/input/event0: 0001 000e 00000001
[     400.353656] /dev/input/event0: 0001 000e 00000000
[     400.440328] /dev/input/event0: 0001 000e 00000001
[     400.542261] /dev/input/event0: 0001 000e 00000000
[     400.627731] /dev/input/event0: 0001 000e 00000001
[     400.729365] /dev/input/event0: 0001 000e 00000000
[     400.814998] /dev/input/event0: 0001 000e 00000001
[     400.917187] /dev/input/event0: 0001 000e 00000000
[     401.019272] /dev/input/event0: 0001 000e 00000001
[     401.119894] /dev/input/event0: 0001 000e 00000000
[     401.222055] /dev/input/event0: 0001 000e 00000001
[     401.341738] /dev/input/event0: 0001 000e 00000000
[     401.427017] /dev/input/event0: 0001 000e 00000001
[     401.529734] /dev/input/event0: 0001 000e 00000000
[     401.613223] /dev/input/event0: 0001 000e 00000001
[     401.731810] /dev/input/event0: 0001 000e 00000000
[     401.819259] /dev/input/event0: 0001 000e 00000001
[     401.938657] /dev/input/event0: 0001 000e 00000000
[     402.023806] /dev/input/event0: 0001 000e 00000001
[     402.126642] /dev/input/event0: 0001 000e 00000000
[     402.228518] /dev/input/event0: 0001 000e 00000001
[     402.330236] /dev/input/event0: 0001 000e 00000000
[     402.415359] /dev/input/event0: 0001 000e 00000001
[     402.517396] /dev/input/event0: 0001 000e 00000000
[     402.619732] /dev/input/event0: 0001 000e 00000001
[     402.722337] /dev/input/event0: 0001 000e 00000000
[     402.807633] /dev/input/event0: 0001 000e 00000001
[     402.909220] /dev/input/event0: 0001 000e 00000000
[     403.011364] /dev/input/event0: 0001 000e 00000001
[     403.095149] /dev/input/event0: 0001 000e 00000000
[     403.230228] /dev/input/event0: 0001 000e 00000001
[     403.298963] /dev/input/event0: 0001 000e 00000000
[     404.480009] /dev/input/event0: 0001 002a 00000001
[     404.480088] /dev/input/event0: 0001 001e 00000001
[     404.548271] /dev/input/event0: 0001 001e 00000000
[     404.548427] /dev/input/event0: 0001 002a 00000000
[     405.008789] /dev/input/event0: 0001 002a 00000001
[     405.008883] /dev/input/event0: 0001 0030 00000001
[     405.058957] /dev/input/event0: 0001 0030 00000000
[     405.059017] /dev/input/event0: 0001 002a 00000000
[     405.332296] /dev/input/event0: 0001 002a 00000001
[     405.332373] /dev/input/event0: 0001 002e 00000001
[     405.383733] /dev/input/event0: 0001 002e 00000000
[     405.383795] /dev/input/event0: 0001 002a 00000000
[     405.536941] /dev/input/event0: 0001 002a 00000001
[     405.537019] /dev/input/event0: 0001 0020 00000001
[     405.602981] /dev/input/event0: 0001 0020 00000000
[     405.603048] /dev/input/event0: 0001 002a 00000000
[     405.733241] /dev/input/event0: 0001 002a 00000001
[     405.735689] /dev/input/event0: 0001 0012 00000001
[     405.786922] /dev/input/event0: 0001 0012 00000000
[     405.786979] /dev/input/event0: 0001 002a 00000000
[     405.924069] /dev/input/event0: 0001 002a 00000001
[     405.924128] /dev/input/event0: 0001 0021 00000001
[     405.992517] /dev/input/event0: 0001 0021 00000000
[     405.992580] /dev/input/event0: 0001 002a 00000000
[     406.129002] /dev/input/event0: 0001 002a 00000001
[     406.129068] /dev/input/event0: 0001 0022 00000001
[     406.198298] /dev/input/event0: 0001 0022 00000000
[     406.198355] /dev/input/event0: 0001 002a 00000000
[     406.590089] /dev/input/event0: 0001 002a 00000001
[     406.590181] /dev/input/event0: 0001 0023 00000001
[     406.641390] /dev/input/event0: 0001 0023 00000000
[     406.641478] /dev/input/event0: 0001 002a 00000000
[     406.897889] /dev/input/event0: 0001 002a 00000001
[     406.897975] /dev/input/event0: 0001 0017 00000001
[     406.949141] /dev/input/event0: 0001 0017 00000000
[     406.949199] /dev/input/event0: 0001 002a 00000000
[     407.120896] /dev/input/event0: 0001 002a 00000001
[     407.120958] /dev/input/event0: 0001 0024 00000001
[     407.172407] /dev/input/event0: 0001 0024 00000000
[     407.172480] /dev/input/event0: 0001 002a 00000000
[     407.326712] /dev/input/event0: 0001 002a 00000001
[     407.326772] /dev/input/event0: 0001 0025 00000001
[     407.377227] /dev/input/event0: 0001 0025 00000000
[     407.377427] /dev/input/event0: 0001 002a 00000000
[     407.513570] /dev/input/event0: 0001 002a 00000001
[     407.513629] /dev/input/event0: 0001 0026 00000001
[     407.564101] /dev/input/event0: 0001 0026 00000000
[     407.564170] /dev/input/event0: 0001 002a 00000000
[     407.698469] /dev/input/event0: 0001 002a 00000001
[     407.698538] /dev/input/event0: 0001 0032 00000001
[     407.749861] /dev/input/event0: 0001 0032 00000000
[     407.749930] /dev/input/event0: 0001 002a 00000000
[     407.888163] /dev/input/event0: 0001 002a 00000001
[     407.888281] /dev/input/event0: 0001 0031 00000001
[     407.940590] /dev/input/event0: 0001 0031 00000000
[     407.940646] /dev/input/event0: 0001 002a 00000000
[     408.111040] /dev/input/event0: 0001 002a 00000001
[     408.111113] /dev/input/event0: 0001 0018 00000001
[     408.141773] /dev/input/event0: 0001 0018 00000000
[     408.141773] /dev/input/event0: 0001 002a 00000000
[     408.298739] /dev/input/event0: 0001 002a 00000001
[     408.298798] /dev/input/event0: 0001 0019 00000001
[     408.366256] /dev/input/event0: 0001 0019 00000000
[     408.366312] /dev/input/event0: 0001 002a 00000000
[     409.712660] /dev/input/event0: 0001 002a 00000001
[     409.712732] /dev/input/event0: 0001 0010 00000001
[     409.831780] /dev/input/event0: 0001 0010 00000000
[     409.831840] /dev/input/event0: 0001 002a 00000000
[     409.934515] /dev/input/event0: 0001 002a 00000001
[     409.934585] /dev/input/event0: 0001 0013 00000001
[     410.002610] /dev/input/event0: 0001 0013 00000000
[     410.002671] /dev/input/event0: 0001 002a 00000000
[     410.342943] /dev/input/event0: 0001 002a 00000001
[     410.343050] /dev/input/event0: 0001 001f 00000001
[     410.479171] /dev/input/event0: 0001 001f 00000000
[     410.479238] /dev/input/event0: 0001 002a 00000000
[     410.599156] /dev/input/event0: 0001 002a 00000001
[     410.599234] /dev/input/event0: 0001 0014 00000001
[     410.668354] /dev/input/event0: 0001 0014 00000000
[     410.668416] /dev/input/event0: 0001 002a 00000000
[     410.872812] /dev/input/event0: 0001 002a 00000001
[     410.872881] /dev/input/event0: 0001 0016 00000001
[     410.924092] /dev/input/event0: 0001 0016 00000000
[     410.924154] /dev/input/event0: 0001 002a 00000000
[     411.196499] /dev/input/event0: 0001 002a 00000001
[     411.196566] /dev/input/event0: 0001 002f 00000001
[     411.282743] /dev/input/event0: 0001 002f 00000000
[     411.282800] /dev/input/event0: 0001 002a 00000000
[     411.590541] /dev/input/event0: 0001 002a 00000001
[     411.590605] /dev/input/event0: 0001 0011 00000001
[     411.705868] /dev/input/event0: 0001 0011 00000000
[     411.705940] /dev/input/event0: 0001 002a 00000000
[     411.862593] /dev/input/event0: 0001 002a 00000001
[     411.862663] /dev/input/event0: 0001 002d 00000001
[     411.930632] /dev/input/event0: 0001 002d 00000000
[     411.930693] /dev/input/event0: 0001 002a 00000000
[     412.253893] /dev/input/event0: 0001 002a 00000001
[     412.253962] /dev/input/event0: 0001 0015 00000001
[     412.322231] /dev/input/event0: 0001 0015 00000000
[     412.322292] /dev/input/event0: 0001 002a 00000000
[     412.595138] /dev/input/event0: 0001 002a 00000001
[     412.595218] /dev/input/event0: 0001 002c 00000001
[     412.646469] /dev/input/event0: 0001 002c 00000000
[     412.646530] /dev/input/event0: 0001 002a 00000000
[     413.737263] /dev/input/event0: 0001 000e 00000001
[     413.789515] /dev/input/event0: 0001 000e 00000000
[     414.010846] /dev/input/event0: 0001 000e 00000001
[     414.062430] /dev/input/event0: 0001 000e 00000000
[     414.181601] /dev/input/event0: 0001 000e 00000001
[     414.249249] /dev/input/event0: 0001 000e 00000000
[     414.312622] /dev/input/event0: 0001 000e 00000001
[     414.363110] /dev/input/event0: 0001 000e 00000000
[     414.448385] /dev/input/event0: 0001 000e 00000001
[     414.568412] /dev/input/event0: 0001 000e 00000000
[     414.582705] /dev/input/event0: 0001 000e 00000001
[     414.704299] /dev/input/event0: 0001 000e 00000000
[     414.789496] /dev/input/event0: 0001 000e 00000001
[     414.891118] /dev/input/event0: 0001 000e 00000000
[     414.976312] /dev/input/event0: 0001 000e 00000001
[     415.095946] /dev/input/event0: 0001 000e 00000000
[     415.165130] /dev/input/event0: 0001 000e 00000001
[     415.267993] /dev/input/event0: 0001 000e 00000000
[     415.336990] /dev/input/event0: 0001 000e 00000001
[     415.456766] /dev/input/event0: 0001 000e 00000000
[     415.524154] /dev/input/event0: 0001 000e 00000001
[     415.624830] /dev/input/event0: 0001 000e 00000000
[     415.728158] /dev/input/event0: 0001 000e 00000001
[     415.813668] /dev/input/event0: 0001 000e 00000000
[     415.898857] /dev/input/event0: 0001 000e 00000001
[     416.001579] /dev/input/event0: 0001 000e 00000000
[     416.086728] /dev/input/event0: 0001 000e 00000001
[     416.188356] /dev/input/event0: 0001 000e 00000000
[     416.273475] /dev/input/event0: 0001 000e 00000001
[     416.409092] /dev/input/event0: 0001 000e 00000000
[     416.460468] /dev/input/event0: 0001 000e 00000001
[     416.579672] /dev/input/event0: 0001 000e 00000000
[     416.664676] /dev/input/event0: 0001 000e 00000001
[     416.783082] /dev/input/event0: 0001 000e 00000000
[     416.834406] /dev/input/event0: 0001 000e 00000001
[     416.936266] /dev/input/event0: 0001 000e 00000000
[     417.004541] /dev/input/event0: 0001 000e 00000001
[     417.123438] /dev/input/event0: 0001 000e 00000000
[     417.191616] /dev/input/event0: 0001 000e 00000001
[     417.310215] /dev/input/event0: 0001 000e 00000000
[     417.395305] /dev/input/event0: 0001 000e 00000001
