add device 1: /dev/input/event0
  name:     "qwerty2"
could not get driver version for /dev/input/mouse0, Not a typewriter
could not get driver version for /dev/input/mice, Not a typewriter
[     516.291254] /dev/input/event0: 0001 0002 00000001
[     516.361188] /dev/input/event0: 0001 0002 00000000
[     516.515111] /dev/input/event0: 0001 0003 00000001
[     516.583538] /dev/input/event0: 0001 0003 00000000
[     516.754821] /dev/input/event0: 0001 0004 00000001
[     516.806688] /dev/input/event0: 0001 0004 00000000
[     517.044704] /dev/input/event0: 0001 0005 00000001
[     517.112055] /dev/input/event0: 0001 0005 00000000
[     517.383960] /dev/input/event0: 0001 0006 00000001
[     517.452223] /dev/input/event0: 0001 0006 00000000
[     517.707666] /dev/input/event0: 0001 0007 00000001
[     517.789901] /dev/input/event0: 0001 0007 00000000
[     518.049181] /dev/input/event0: 0001 0008 00000001
[     518.117549] /dev/input/event0: 0001 0008 00000000
[     518.288334] /dev/input/event0: 0001 0009 00000001
[     518.356732] /dev/input/event0: 0001 0009 00000000
[     518.511533] /dev/input/event0: 0001 000a 00000001
[     518.545958] /dev/input/event0: 0001 000a 00000000
[     518.733890] /dev/input/event0: 0001 000b 00000001
[     518.802297] /dev/input/event0: 0001 000b 00000000
[     519.906185] /dev/input/event0: 0001 000e 00000001
[     519.974640] /dev/input/event0: 0001 000e 00000000
[     520.093786] /dev/input/event0: 0001 000e 00000001
[     520.145578] /dev/input/event0: 0001 000e 00000000
[     520.264871] /dev/input/event0: 0001 000e 00000001
[     520.333814] /dev/input/event0: 0001 000e 00000000
[     520.438090] /dev/input/event0: 0001 000e 00000001
[     520.524602] /dev/input/event0: 0001 000e 00000000
[     520.628143] /dev/input/event0: 0001 000e 00000001
[     520.713466] /dev/input/event0: 0001 000e 00000000
[     520.816632] /dev/input/event0: 0001 000e 00000001
[     520.918257] /dev/input/event0: 0001 000e 00000000
[     521.020441] /dev/input/event0: 0001 000e 00000001
[     521.122178] /dev/input/event0: 0001 000e 00000000
[     521.224275] /dev/input/event0: 0001 000e 00000001
[     521.326230] /dev/input/event0: 0001 000e 00000000
[     521.411819] /dev/input/event0: 0001 000e 00000001
[     521.513496] /dev/input/event0: 0001 000e 00000000
[     521.615264] /dev/input/event0: 0001 000e 00000001
[     521.716906] /dev/input/event0: 0001 000e 00000000
[     521.819227] /dev/input/event0: 0001 000e 00000001
[     521.922767] /dev/input/event0: 0001 000e 00000000
[     522.008080] /dev/input/event0: 0001 000e 00000001
[     522.110573] /dev/input/event0: 0001 000e 00000000
[     523.119396] /dev/input/event0: 0001 0010 00000001
[     523.186973] /dev/input/event0: 0001 0010 00000000
[     523.323703] /dev/input/event0: 0001 0011 00000001
[     523.391363] /dev/input/event0: 0001 0011 00000000
[     523.544699] /dev/input/event0: 0001 0012 00000001
[     523.595040] /dev/input/event0: 0001 0012 00000000
[     523.747874] /dev/input/event0: 0001 0013 00000001
[     523.798901] /dev/input/event0: 0001 0013 00000000
[     524.005176] /dev/input/event0: 0001 0014 00000001
[     524.056603] /dev/input/event0: 0001 0014 00000000
[     524.227224] /dev/input/event0: 0001 0015 00000001
[     524.278669] /dev/input/event0: 0001 0015 00000000
[     524.484127] /dev/input/event0: 0001 0016 00000001
[     524.552560] /dev/input/event0: 0001 0016 00000000
[     524.723180] /dev/input/event0: 0001 0017 00000001
[     524.791347] /dev/input/event0: 0001 0017 00000000
[     524.979161] /dev/input/event0: 0001 0018 00000001
[     525.047034] /dev/input/event0: 0001 0018 00000000
[     525.200593] /dev/input/event0: 0001 0019 00000001
[     525.267070] /dev/input/event0: 0001 0019 00000000
[     526.089081] /dev/input/event0: 0001 000e 00000001
[     526.174845] /dev/input/event0: 0001 000e 00000000
[     526.243956] /dev/input/event0: 0001 000e 00000001
[     526.330022] /dev/input/event0: 0001 000e 00000000
[     526.381012] /dev/input/event0: 0001 000e 00000001
[     526.466669] /dev/input/event0: 0001 000e 00000000
[     526.534970] /dev/input/event0: 0001 000e 00000001
[     526.603614] /dev/input/event0: 0001 000e 00000000
[     526.688806] /dev/input/event0: 0001 000e 00000001
[     526.774344] /dev/input/event0: 0001 000e 00000000
[     526.859770] /dev/input/event0: 0001 000e 00000001
[     526.943185] /dev/input/event0: 0001 000e 00000000
[     527.011535] /dev/input/event0: 0001 000e 00000001
[     527.113267] /dev/input/event0: 0001 000e 00000000
[     527.181735] /dev/input/event0: 0001 000e 00000001
[     527.300317] /dev/input/event0: 0001 000e 00000000
[     527.351527] /dev/input/event0: 0001 000e 00000001
[     527.453302] /dev/input/event0: 0001 000e 00000000
[     527.538450] /dev/input/event0: 0001 000e 00000001
[     527.623519] /dev/input/event0: 0001 000e 00000000
[     527.913210] /dev/input/event0: 0001 000e 00000001
[     527.964788] /dev/input/event0: 0001 000e 00000000
[     528.498484] /dev/input/event0: 0001 001e 00000001
[     528.566559] /dev/input/event0: 0001 001e 00000000
[     528.687166] /dev/input/event0: 0001 001f 00000001
[     528.755464] /dev/input/event0: 0001 001f 00000000
[     528.925935] /dev/input/event0: 0001 0020 00000001
[     528.994149] /dev/input/event0: 0001 0020 00000000
[     529.147496] /dev/input/event0: 0001 0021 00000001
[     529.198036] /dev/input/event0: 0001 0021 00000000
[     529.385728] /dev/input/event0: 0001 0022 00000001
[     529.453330] /dev/input/event0: 0001 0022 00000000
[     529.624565] /dev/input/event0: 0001 0023 00000001
[     529.691974] /dev/input/event0: 0001 0023 00000000
[     529.875238] /dev/input/event0: 0001 0024 00000001
[     529.943659] /dev/input/event0: 0001 0024 00000000
[     530.097048] /dev/input/event0: 0001 0025 00000001
[     530.165493] /dev/input/event0: 0001 0025 00000000
[     530.337173] /dev/input/event0: 0001 0026 00000001
[     530.405699] /dev/input/event0: 0001 0026 00000000
[     530.763218] /dev/input/event0: 0001 000e 00000001
[     530.831267] /dev/input/event0: 0001 000e 00000000
[     530.933555] /dev/input/event0: 0001 000e 00000001
[     530.984244] /dev/input/event0: 0001 000e 00000000
[     531.069442] /dev/input/event0: 0001 000e 00000001
[     531.153990] /dev/input/event0: 0001 000e 00000000
[     531.222279] /dev/input/event0: 0001 000e 00000001
[     531.307133] /dev/input/event0: 0001 000e 00000000
[     531.392726] /dev/input/event0: 0001 000e 00000001
[     531.461202] /dev/input/event0: 0001 000e 00000000
[     531.546458] /dev/input/event0: 0001 000e 00000001
[     531.614491] /dev/input/event0: 0001 000e 00000000
[     531.717178] /dev/input/event0: 0001 000e 00000001
[     531.799810] /dev/input/event0: 0001 000e 00000000
[     531.887039] /dev/input/event0: 0001 000e 00000001
[     531.972720] /dev/input/event0: 0001 000e 00000000
[     532.041018] /dev/input/event0: 0001 000e 00000001
[     532.126477] /dev/input/event0: 0001 000e 00000000
[     532.230906] /dev/input/event0: 0001 000e 00000001
[     532.316767] /dev/input/event0: 0001 000e 00000000
[     532.827950] /dev/input/event0: 0001 002c 00000001
[     532.896228] /dev/input/event0: 0001 002c 00000000
[     533.016818] /dev/input/event0: 0001 002d 00000001
[     533.102032] /dev/input/event0: 0001 002d 00000000
[     533.272967] /dev/input/event0: 0001 002e 00000001
[     533.341341] /dev/input/event0: 0001 002e 00000000
[     533.494953] /dev/input/event0: 0001 002f 00000001
[     533.563101] /dev/input/event0: 0001 002f 00000000
[     533.750531] /dev/input/event0: 0001 0030 00000001
[     533.818857] /dev/input/event0: 0001 0030 00000000
[     534.008326] /dev/input/event0: 0001 0031 00000001
[     534.059563] /dev/input/event0: 0001 0031 00000000
[     534.230262] /dev/input/event0: 0001 0032 00000001
[     534.298823] /dev/input/event0: 0001 0032 00000000
[     534.724733] /dev/input/event0: 0001 000e 00000001
[     534.826255] /dev/input/event0: 0001 000e 00000000
[     534.894470] /dev/input/event0: 0001 000e 00000001
[     534.962146] /dev/input/event0: 0001 000e 00000000
[     535.064438] /dev/input/event0: 0001 000e 00000001
[     536.192630] /dev/input/event0: 0001 000e 00000000
